"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"g__RS25G","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__RS25G",NA,NA,"g__RS25G"
"Unclass_o__Entomoplasmatales","k__Bacteria","p__Firmicutes","c__Bacilli","o__Entomoplasmatales","f__","Unclass_o__Entomoplasmatales",NA,NA,"Unclass_o__Entomoplasmatales"
"g__Rurimicrobium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Rurimicrobium",NA,NA,"g__Rurimicrobium"
"Unclass_o__Elev-16S-1166","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Elev-16S-1166","f__","Unclass_o__Elev-16S-1166",NA,NA,"Unclass_o__Elev-16S-1166"
"Unclass_o__B12-WMSP1","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__B12-WMSP1","f__","Unclass_o__B12-WMSP1",NA,NA,"Unclass_o__B12-WMSP1"
"Unclass_o__Subgroup 12","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Subgroup 12","f__","Unclass_o__Subgroup 12",NA,NA,"Unclass_o__Subgroup 12"
"g__Longispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Longispora",NA,NA,"g__Longispora"
"Unclass_f__UBA12409","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__UBA12409","Unclass_f__UBA12409",NA,NA,"Unclass_f__UBA12409"
"g__UBA6140","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__UBA6140",NA,NA,"g__UBA6140"
"g__Candidimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Candidimonas",NA,NA,"g__Candidimonas"
"g__Dechloromonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Dechloromonas",NA,NA,"g__Dechloromonas"
"Unclass_f__LWQ8","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__LWQ8","Unclass_f__LWQ8",NA,NA,"Unclass_f__LWQ8"
"g__Pseudoduganella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Pseudoduganella",NA,NA,"g__Pseudoduganella"
"Unclass_c__AT-s3-28","k__Bacteria","p__Acidobacteriota","c__AT-s3-28","o__","f__","Unclass_c__AT-s3-28",NA,NA,"Unclass_c__AT-s3-28"
"Unclass_f__Paludibacteraceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","Unclass_f__Paludibacteraceae",NA,NA,"Unclass_f__Paludibacteraceae"
"g__Hymenobacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Hymenobacter",NA,NA,"g__Hymenobacter"
"Unclass_f__Paracaedibacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Paracaedibacterales","f__Paracaedibacteraceae","Unclass_f__Paracaedibacteraceae",NA,NA,"Unclass_f__Paracaedibacteraceae"
"Unclass_o__Polyangiales","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__","Unclass_o__Polyangiales",NA,NA,"Unclass_o__Polyangiales"
"g__Rhodopila","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Rhodopila",NA,NA,"g__Rhodopila"
"g__Tenggerimyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Tenggerimyces",NA,NA,"g__Tenggerimyces"
"Unclass_f__Rhodobacteraceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","Unclass_f__Rhodobacteraceae",NA,NA,"Unclass_f__Rhodobacteraceae"
"g__Georgfuchsia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Georgfuchsia",NA,NA,"g__Georgfuchsia"
"g__Serratia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Yersiniaceae","g__Serratia",NA,NA,"g__Serratia"
"Unclass_f__Ardenticatenaceae","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Ardenticatenales","f__Ardenticatenaceae","Unclass_f__Ardenticatenaceae",NA,NA,"Unclass_f__Ardenticatenaceae"
"g__Balneatrix","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Nitrincolaceae","g__Balneatrix",NA,NA,"g__Balneatrix"
"g__Flaviaesturariibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Flaviaesturariibacter",NA,NA,"g__Flaviaesturariibacter"
"g__Bacteriovorax","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bacteriovoracales","f__Bacteriovoracaceae","g__Bacteriovorax",NA,NA,"g__Bacteriovorax"
"g__Pseudopelobacter","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__Geobacterales","f__Pseudopelobacteraceae","g__Pseudopelobacter",NA,NA,"g__Pseudopelobacter"
"g__Chiayiivirga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Chiayiivirga",NA,NA,"g__Chiayiivirga"
"g__Derxia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Derxia",NA,NA,"g__Derxia"
"g__JTB255 marine benthic group","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Steroidobacterales","f__Woeseiaceae","g__JTB255 marine benthic group",NA,NA,"g__JTB255 marine benthic group"
"g__Methylovirgula","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylovirgula",NA,NA,"g__Methylovirgula"
"Unclass_o__Candidatus Nomurabacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Nomurabacteria","f__","Unclass_o__Candidatus Nomurabacteria",NA,NA,"Unclass_o__Candidatus Nomurabacteria"
"g__Phreatobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__","g__Phreatobacter",NA,NA,"g__Phreatobacter"
"g__Hoeflea","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Hoeflea",NA,NA,"g__Hoeflea"
"g__Nostoc PCC-73102","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Nostoc PCC-73102",NA,NA,"g__Nostoc PCC-73102"
"Unclass_f__Eel-36e1D6","k__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Eel-36e1D6","Unclass_f__Eel-36e1D6",NA,NA,"Unclass_f__Eel-36e1D6"
"Unclass_o__Chthoniobacterales","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__","Unclass_o__Chthoniobacterales",NA,NA,"Unclass_o__Chthoniobacterales"
"g__Goodfellowiella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Goodfellowiella",NA,NA,"g__Goodfellowiella"
"g__Methylibium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Methylibium",NA,NA,"g__Methylibium"
"Unclass_o__Candidatus Uhrbacteria","k__Bacteria","p__Patescibacteria","c__ABY1","o__Candidatus Uhrbacteria","f__","Unclass_o__Candidatus Uhrbacteria",NA,NA,"Unclass_o__Candidatus Uhrbacteria"
"Unclass_o__Candidatus Pacebacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Pacebacteria","f__","Unclass_o__Candidatus Pacebacteria",NA,NA,"Unclass_o__Candidatus Pacebacteria"
"g__Ferritrophicum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sulfuricellaceae","g__Ferritrophicum",NA,NA,"g__Ferritrophicum"
"g__Silvanigrella","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Silvanigrellales","f__Silvanigrellaceae","g__Silvanigrella",NA,NA,"g__Silvanigrella"
"g__Lapillicoccus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Lapillicoccus",NA,NA,"g__Lapillicoccus"
"Unclass_f__01D2Z36","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__01D2Z36","Unclass_f__01D2Z36",NA,NA,"Unclass_f__01D2Z36"
"Unclass_f__Rickettsiaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","Unclass_f__Rickettsiaceae",NA,NA,"Unclass_f__Rickettsiaceae"
"g__Allocatelliglobosispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Allocatelliglobosispora",NA,NA,"g__Allocatelliglobosispora"
"g__WCHB1-32","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prolixibacteraceae","g__WCHB1-32",NA,NA,"g__WCHB1-32"
"g__Clostridium sensu stricto 1","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 1",NA,NA,"g__Clostridium sensu stricto 1"
"g__Ensifer","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer",NA,NA,"g__Ensifer"
"Unclass_o__Ga0077536","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Ga0077536","f__","Unclass_o__Ga0077536",NA,NA,"Unclass_o__Ga0077536"
"g__Fictibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Fictibacillus",NA,NA,"g__Fictibacillus"
"g__Georgenia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Bogoriellaceae","g__Georgenia",NA,NA,"g__Georgenia"
"Unclass_f__Symbiobacteraceae","k__Bacteria","p__Firmicutes","c__Symbiobacteriia","o__Symbiobacteriales","f__Symbiobacteraceae","Unclass_f__Symbiobacteraceae",NA,NA,"Unclass_f__Symbiobacteraceae"
"Unclass_f__Parachlamydiaceae","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Parachlamydiaceae","Unclass_f__Parachlamydiaceae",NA,NA,"Unclass_f__Parachlamydiaceae"
"Unclass_f__Rhodothermaceae","k__Bacteria","p__Bacteroidota","c__Rhodothermia","o__Rhodothermales","f__Rhodothermaceae","Unclass_f__Rhodothermaceae",NA,NA,"Unclass_f__Rhodothermaceae"
"g__Dokdonella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Dokdonella",NA,NA,"g__Dokdonella"
"Unclass_o__Candidatus Yonathbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Yonathbacteria","f__","Unclass_o__Candidatus Yonathbacteria",NA,NA,"Unclass_o__Candidatus Yonathbacteria"
"Unclass_f__Holosporaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Holosporales","f__Holosporaceae","Unclass_f__Holosporaceae",NA,NA,"Unclass_f__Holosporaceae"
"g__Limnobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Limnobacter",NA,NA,"g__Limnobacter"
"g__Sphingorhabdus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingorhabdus",NA,NA,"g__Sphingorhabdus"
"g__Psychrobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Psychrobacillus",NA,NA,"g__Psychrobacillus"
"g__OLB13","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__SBR1031","f__A4b","g__OLB13",NA,NA,"g__OLB13"
"Unclass_f__Silvanigrellaceae","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Silvanigrellales","f__Silvanigrellaceae","Unclass_f__Silvanigrellaceae",NA,NA,"Unclass_f__Silvanigrellaceae"
"Unclass_c__Subgroup 25","k__Bacteria","p__Acidobacteriota","c__Subgroup 25","o__","f__","Unclass_c__Subgroup 25",NA,NA,"Unclass_c__Subgroup 25"
"Unclass_f__Muribaculaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","Unclass_f__Muribaculaceae",NA,NA,"Unclass_f__Muribaculaceae"
"Unclass_f__Tepidisphaeraceae","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Tepidisphaerales","f__Tepidisphaeraceae","Unclass_f__Tepidisphaeraceae",NA,NA,"Unclass_f__Tepidisphaeraceae"
"Unclass_f__WWH38","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__WWH38","Unclass_f__WWH38",NA,NA,"Unclass_f__WWH38"
"g__PMMR1","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__PMMR1",NA,NA,"g__PMMR1"
"g__Propionicicella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Propionicicella",NA,NA,"g__Propionicicella"
"g__Rathayibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Rathayibacter",NA,NA,"g__Rathayibacter"
"g__Parafilimonas","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Parafilimonas",NA,NA,"g__Parafilimonas"
"g__Rhodovarius","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Rhodovarius",NA,NA,"g__Rhodovarius"
"Unclass_f__Oligoflexaceae","k__Bacteria","p__Bdellovibrionota","c__Oligoflexia","o__Oligoflexales","f__Oligoflexaceae","Unclass_f__Oligoflexaceae",NA,NA,"Unclass_f__Oligoflexaceae"
"g__Coxiella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Coxiellales","f__Coxiellaceae","g__Coxiella",NA,NA,"g__Coxiella"
"g__Acidiphilium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Acidiphilium",NA,NA,"g__Acidiphilium"
"g__Niveibacterium","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Niveibacterium",NA,NA,"g__Niveibacterium"
"Unclass_o__Babeliales","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__","Unclass_o__Babeliales",NA,NA,"Unclass_o__Babeliales"
"g__Methylocapsa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylocapsa",NA,NA,"g__Methylocapsa"
"g__Methylophilus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylophilus",NA,NA,"g__Methylophilus"
"Unclass_c__Gracilibacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__","f__","Unclass_c__Gracilibacteria",NA,NA,"Unclass_c__Gracilibacteria"
"Unclass_f__Cellvibrionaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Cellvibrionaceae","Unclass_f__Cellvibrionaceae",NA,NA,"Unclass_f__Cellvibrionaceae"
"Unclass_c__Verrucomicrobiae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__","f__","Unclass_c__Verrucomicrobiae",NA,NA,"Unclass_c__Verrucomicrobiae"
"g__Rufibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Rufibacter",NA,NA,"g__Rufibacter"
"g__Catenuloplanes","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Catenuloplanes",NA,NA,"g__Catenuloplanes"
"Unclass_o__Candidatus Woesebacteria","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Candidatus Woesebacteria","f__","Unclass_o__Candidatus Woesebacteria",NA,NA,"Unclass_o__Candidatus Woesebacteria"
"g__Clostridium sensu stricto 9","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 9",NA,NA,"g__Clostridium sensu stricto 9"
"g__Oerskovia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Cellulomonadaceae","g__Oerskovia",NA,NA,"g__Oerskovia"
"Unclass_o__WN-HWB-116","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__WN-HWB-116","f__","Unclass_o__WN-HWB-116",NA,NA,"Unclass_o__WN-HWB-116"
"g__Falsirhodobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Falsirhodobacter",NA,NA,"g__Falsirhodobacter"
"g__Hydrogenophaga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hydrogenophaga",NA,NA,"g__Hydrogenophaga"
"g__Vampirovibrio","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Vampirovibrionales","f__Vampirovibrionaceae","g__Vampirovibrio",NA,NA,"g__Vampirovibrio"
"Unclass_p__Proteobacteria","k__Bacteria","p__Proteobacteria","c__","o__","f__","Unclass_p__Proteobacteria",NA,NA,"Unclass_p__Proteobacteria"
"g__Terriglobus","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Terriglobus",NA,NA,"g__Terriglobus"
"g__BD1-7 clade","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Spongiibacteraceae","g__BD1-7 clade",NA,NA,"g__BD1-7 clade"
"Unclass_p__Patescibacteria","k__Bacteria","p__Patescibacteria","c__","o__","f__","Unclass_p__Patescibacteria",NA,NA,"Unclass_p__Patescibacteria"
"Unclass_o__PLTA13","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__PLTA13","f__","Unclass_o__PLTA13",NA,NA,"Unclass_o__PLTA13"
"Unclass_o__S-70","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__S-70","f__","Unclass_o__S-70",NA,NA,"Unclass_o__S-70"
"g__Dolosigranulum","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Dolosigranulum",NA,NA,"g__Dolosigranulum"
"Unclass_f__Micavibrionaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Micavibrionales","f__Micavibrionaceae","Unclass_f__Micavibrionaceae",NA,NA,"Unclass_f__Micavibrionaceae"
"Unclass_o__Flavobacteriales","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__","Unclass_o__Flavobacteriales",NA,NA,"Unclass_o__Flavobacteriales"
"g__Brevifollis","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Brevifollis",NA,NA,"g__Brevifollis"
"g__I-8","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__I-8",NA,NA,"g__I-8"
"g__Skermania","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Skermania",NA,NA,"g__Skermania"
"Unclass_f__Neisseriaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Neisseriaceae","Unclass_f__Neisseriaceae",NA,NA,"Unclass_f__Neisseriaceae"
"g__Anaerococcus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family XI","g__Anaerococcus",NA,NA,"g__Anaerococcus"
"Unclass_o__Chlamydiales","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__","Unclass_o__Chlamydiales",NA,NA,"Unclass_o__Chlamydiales"
"g__Sulfuritalea","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Sulfuritalea",NA,NA,"g__Sulfuritalea"
"g__Paludisphaera","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Paludisphaera",NA,NA,"g__Paludisphaera"
"g__Sulfurirhabdus","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sulfuricellaceae","g__Sulfurirhabdus",NA,NA,"g__Sulfurirhabdus"
"Unclass_f__cvE6","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__cvE6","Unclass_f__cvE6",NA,NA,"Unclass_f__cvE6"
"g__Aquicella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Diplorickettsiales","f__Diplorickettsiaceae","g__Aquicella",NA,NA,"g__Aquicella"
"g__Frigoribacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Frigoribacterium",NA,NA,"g__Frigoribacterium"
"g__Aquamicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aquamicrobium",NA,NA,"g__Aquamicrobium"
"g__Ideonella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Ideonella",NA,NA,"g__Ideonella"
"g__Candidatus Rhabdochlamydia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Simkaniaceae","g__Candidatus Rhabdochlamydia",NA,NA,"g__Candidatus Rhabdochlamydia"
"g__Plantibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Plantibacter",NA,NA,"g__Plantibacter"
"g__FukuN18 freshwater group","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Chthoniobacterales","f__Terrimicrobiaceae","g__FukuN18 freshwater group",NA,NA,"g__FukuN18 freshwater group"
"Unclass_o__Woesearchaeales","k__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__","Unclass_o__Woesearchaeales",NA,NA,"Unclass_o__Woesearchaeales"
"g__Marinilutecoccus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Marinilutecoccus",NA,NA,"g__Marinilutecoccus"
"g__Streptococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",NA,NA,"g__Streptococcus"
"g__Oceanicella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Oceanicella",NA,NA,"g__Oceanicella"
"g__Porphyrobacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Porphyrobacter",NA,NA,"g__Porphyrobacter"
"g__Collimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Collimonas",NA,NA,"g__Collimonas"
"g__Rubritepida","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Rubritepida",NA,NA,"g__Rubritepida"
"g__Bythopirellula","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Pirellulales","f__Pirellulaceae","g__Bythopirellula",NA,NA,"g__Bythopirellula"
"Unclass_c__Ktedonobacteria","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__","f__","Unclass_c__Ktedonobacteria",NA,NA,"Unclass_c__Ktedonobacteria"
"g__Fodinicola","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Frankiales","f__Cryptosporangiaceae","g__Fodinicola",NA,NA,"g__Fodinicola"
